Name,source,country,site,strata,CRB,MOB,CNTR,WPOT,SC,MAF,MAEN,MAA,MAG,MAS,MALCB,MOG,CNCA
AR_PM_PC_HT_20181105_Q01,visual,AR,PC,HT,0,1,0,0,86,13,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q02,visual,AR,PC,HT,2,2,0,0,23,73,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q03,visual,AR,PC,HT,0,0,0,0,32,68,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q04,visual,AR,PC,HT,0,0,0,0,18,82,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q05,visual,AR,PC,HT,0,0,0,0,14,86,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q06,visual,AR,PC,HT,0,10,0,0,28,62,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q07,visual,AR,PC,HT,0,15,0,0,55,30,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q08,visual,AR,PC,HT,0,0,0,0,81,17,0,0,0,2,0,0,0
AR_PM_PC_HT_20181105_Q09,visual,AR,PC,HT,0,0,0,0,82,18,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q10,visual,AR,PC,HT,0,0,0,0,78,22,0,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q01,visual,AR,PC,MT,3,90,0,0,2,2,3,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q02,visual,AR,PC,MT,6,88,0,0,1,2,3,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q03,visual,AR,PC,MT,5,82,0,0,5,2,4,0,0,2,0,0,0
AR_PM_PC_MT_20181105_Q04,visual,AR,PC,MT,7,83,0,0,3,1,5,0,0,1,0,0,0
AR_PM_PC_MT_20181105_Q05,visual,AR,PC,MT,2,84,0,0,5,4,3,0,0,2,0,0,0
AR_PM_PC_MT_20181105_Q06,visual,AR,PC,MT,4,87,0,0,2,2,3,1,0,1,0,0,0
AR_PM_PC_MT_20181105_Q07,visual,AR,PC,MT,7,89,0,0,2,1,1,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q08,visual,AR,PC,MT,5,94,0,0,1,0,0,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q09,visual,AR,PC,MT,4,86,0,0,6,3,1,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q10,visual,AR,PC,MT,7,87,0,0,1,1,4,0,0,0,0,0,0
AR_PM_PC_LT_20181105_Q01,visual,AR,PC,LT,0,0,0,2,30,9,2,43,0,14,0,0,0
AR_PM_PC_LT_20181105_Q02,visual,AR,PC,LT,0,0,0,8,71,7,0,5,0,9,0,0,0
AR_PM_PC_LT_20181105_Q03,visual,AR,PC,LT,0,0,0,0,62,4,0,22,0,12,0,0,0
AR_PM_PC_LT_20181105_Q04,visual,AR,PC,LT,0,0,0,18,59,2,0,21,0,0,0,0,0
AR_PM_PC_LT_20181105_Q05,visual,AR,PC,LT,0,0,0,7,54,1,0,6,0,32,0,0,0
